"Date","Price","Open","High","Low","Vol.","Change %"
"07/19/2024","5,505.00","5,543.37","5,557.50","5,497.04","","-0.71%"
"07/18/2024","5,544.59","5,608.56","5,614.05","5,522.81","","-0.78%"
"07/17/2024","5,588.27","5,610.07","5,622.49","5,584.81","","-1.39%"
"07/16/2024","5,667.20","5,644.09","5,669.67","5,639.02","","0.64%"
"07/15/2024","5,631.22","5,638.16","5,666.94","5,614.75","","0.28%"
"07/12/2024","5,615.35","5,590.76","5,655.56","5,590.44","","0.55%"
"07/11/2024","5,584.54","5,635.21","5,642.45","5,576.53","","-0.88%"
"07/10/2024","5,633.91","5,591.26","5,635.39","5,586.44","","1.02%"
"07/09/2024","5,576.98","5,584.24","5,590.75","5,574.57","","0.07%"
"07/08/2024","5,572.85","5,572.75","5,583.11","5,562.51","","0.10%"
"07/05/2024","5,567.19","5,537.91","5,570.33","5,531.63","","0.54%"
"07/03/2024","5,537.02","5,507.44","5,539.27","5,507.42","","0.51%"
"07/02/2024","5,509.01","5,461.84","5,509.69","5,458.43","","0.62%"
"07/01/2024","5,475.09","5,471.08","5,479.55","5,446.53","","0.27%"
"06/28/2024","5,460.48","5,488.48","5,523.64","5,451.12","","-0.41%"
"06/27/2024","5,482.87","5,473.59","5,490.81","5,467.54","","0.09%"
"06/26/2024","5,477.90","5,460.71","5,483.14","5,451.87","","0.16%"
"06/25/2024","5,469.30","5,460.73","5,472.88","5,446.56","","0.39%"
"06/24/2024","5,447.87","5,459.58","5,490.66","5,447.59","","-0.31%"
"06/21/2024","5,464.62","5,466.77","5,478.31","5,452.03","","-0.16%"
"06/20/2024","5,473.17","5,499.99","5,505.53","5,455.56","","-0.25%"
"06/18/2024","5,487.03","5,476.15","5,490.38","5,471.32","","0.25%"
"06/17/2024","5,473.23","5,431.11","5,488.50","5,420.40","","0.77%"
"06/14/2024","5,431.60","5,424.08","5,432.39","5,403.75","","-0.04%"
"06/13/2024","5,433.74","5,441.93","5,441.93","5,402.51","","0.23%"
"06/12/2024","5,421.03","5,409.13","5,447.25","5,409.13","","0.85%"
"06/11/2024","5,375.32","5,353.00","5,375.95","5,327.25","","0.27%"
"06/10/2024","5,360.79","5,341.22","5,365.79","5,331.52","","0.26%"
"06/07/2024","5,346.99","5,343.81","5,375.08","5,331.33","","-0.11%"
"06/06/2024","5,352.96","5,357.80","5,362.35","5,335.36","","-0.02%"
"06/05/2024","5,354.03","5,314.48","5,354.16","5,297.64","","1.18%"
"06/04/2024","5,291.34","5,278.24","5,298.80","5,257.63","","0.15%"
"06/03/2024","5,283.40","5,297.15","5,302.11","5,234.32","","0.11%"
"05/31/2024","5,277.51","5,243.21","5,280.33","5,191.68","","0.80%"
"05/30/2024","5,235.48","5,259.77","5,260.21","5,222.10","","-0.60%"
"05/29/2024","5,266.95","5,278.73","5,282.27","5,262.70","","-0.74%"
