"Date","Price","Open","High","Low","Vol.","Change %"
"07/19/2024","2,399.10","2,448.00","2,448.40","2,395.70","","-2.33%"
"07/18/2024","2,456.40","2,462.50","2,478.50","2,442.90","192.77K","-0.14%"
"07/17/2024","2,459.90","2,473.20","2,488.40","2,455.50","259.54K","-0.32%"
"07/16/2024","2,467.80","2,427.10","2,474.50","2,424.50","246.09K","1.60%"
"07/15/2024","2,428.90","2,419.30","2,445.00","2,406.10","193.54K","0.34%"
"07/12/2024","2,420.70","2,421.00","2,423.20","2,396.10","220.93K","-0.05%"
"07/11/2024","2,421.90","2,377.40","2,430.40","2,376.80","303.52K","1.77%"
"07/10/2024","2,379.70","2,371.00","2,393.40","2,369.70","163.90K","0.50%"
"07/09/2024","2,367.90","2,366.50","2,378.30","2,356.00","252.49K","0.19%"
"07/08/2024","2,363.50","2,396.20","2,399.30","2,358.30","240.78K","-1.43%"
"07/05/2024","2,397.70","2,365.80","2,401.50","2,356.00","293.25K","1.40%"
"07/04/2024","2,364.60","2,367.20","2,371.05","2,359.35","","-0.20%"
"07/03/2024","2,369.40","2,338.60","2,374.50","2,335.70","193.64K","1.54%"
"07/02/2024","2,333.40","2,341.60","2,346.10","2,327.40","153.71K","-0.24%"
"07/01/2024","2,338.90","2,336.20","2,348.80","2,328.20","142.60K","-0.03%"
"06/28/2024","2,339.60","2,338.60","2,350.60","2,329.70","135.38K","0.13%"
"06/27/2024","2,336.60","2,309.40","2,342.00","2,306.80","140.23K","1.55%"
"06/26/2024","2,301.00","2,318.80","2,320.50","2,292.90","0.99K","-0.75%"
"06/25/2024","2,318.40","2,334.40","2,336.20","2,314.80","1.26K","-0.60%"
"06/24/2024","2,332.40","2,322.10","2,334.70","2,318.00","0.60K","0.05%"
"06/21/2024","2,331.20","2,373.80","2,382.60","2,329.20","194.82K","-1.60%"
"06/20/2024","2,369.00","2,344.20","2,379.50","2,338.50","252.69K","1.11%"
"06/19/2024","2,343.00","2,342.95","2,349.65","2,338.60","","-0.17%"
"06/18/2024","2,346.90","2,333.70","2,348.20","2,320.20","154.25K","0.77%"
"06/17/2024","2,329.00","2,348.50","2,348.70","2,324.30","122.70K","-0.86%"
"06/14/2024","2,349.10","2,319.60","2,352.30","2,316.70","163.37K","1.34%"
"06/13/2024","2,318.00","2,340.90","2,342.40","2,310.90","182.66K","-1.56%"
"06/12/2024","2,354.80","2,334.00","2,358.80","2,327.20","241.67K","1.21%"
"06/11/2024","2,326.60","2,329.50","2,337.30","2,314.50","145.50K","-0.02%"
"06/10/2024","2,327.00","2,311.00","2,331.30","2,304.50","142.89K","0.09%"
"06/07/2024","2,325.00","2,395.70","2,406.70","2,304.20","314.55K","-2.76%"
"06/06/2024","2,390.90","2,375.30","2,397.80","2,372.20","172.20K","0.65%"
"06/05/2024","2,375.50","2,347.10","2,377.60","2,345.30","171.86K","1.20%"
"06/04/2024","2,347.40","2,371.30","2,373.10","2,335.10","171.55K","-0.92%"
"06/03/2024","2,369.30","2,348.00","2,375.50","2,334.80","173.15K","1.00%"
"05/31/2024","2,345.80","2,364.50","2,381.20","2,341.10","183.41K","-0.87%"
"05/30/2024","2,366.50","2,361.00","2,373.70","2,343.30","188.89K","0.62%"
"05/29/2024","2,352.00","2,372.90","2,373.50","2,346.00","119.32K","-0.65%"
"05/28/2024","2,367.30","2,348.70","2,375.20","2,347.70","316.22K","0.46%"
"05/27/2024","2,356.50","2,338.00","2,365.50","2,333.80","105.47K","0.47%"
"05/24/2024","2,345.40","2,341.50","2,357.10","2,339.10","178.34K","-0.12%"
"05/23/2024","2,348.20","2,393.20","2,395.30","2,340.00","273.66K","-2.31%"
"05/22/2024","2,403.70","2,436.30","2,440.00","2,392.10","253.85K","-1.36%"
"05/21/2024","2,436.90","2,442.30","2,448.40","2,420.20","229.42K","-0.51%"
"05/20/2024","2,449.50","2,438.60","2,464.50","2,425.60","281.43K","0.86%"
"05/17/2024","2,428.60","2,392.80","2,433.60","2,389.20","218.55K","1.34%"
"05/16/2024","2,396.40","2,401.00","2,413.10","2,387.00","191.03K","-0.39%"
"05/15/2024","2,405.80","2,372.20","2,406.30","2,370.90","249.84K","1.48%"
"05/14/2024","2,370.60","2,354.60","2,375.70","2,352.30","192.08K","0.71%"
"05/13/2024","2,353.80","2,379.80","2,380.60","2,349.50","243.08K","-1.33%"
"05/10/2024","2,385.60","2,363.10","2,390.80","2,363.10","275.24K","1.48%"
"05/09/2024","2,350.90","2,331.80","2,361.00","2,330.50","249.09K","0.78%"
"05/08/2024","2,332.80","2,335.40","2,336.50","2,323.20","214.69K","-0.09%"
"05/07/2024","2,334.80","2,344.80","2,346.10","2,329.40","204.62K","-0.29%"
"05/06/2024","2,341.60","2,326.10","2,348.30","2,326.10","191.90K","1.43%"
"05/03/2024","2,308.60","2,313.50","2,330.70","2,285.20","226.19K","-0.04%"
"05/02/2024","2,309.60","2,329.90","2,336.10","2,294.30","181.82K","-0.06%"
"05/01/2024","2,311.00","2,298.20","2,339.50","2,291.70","215.27K","0.35%"
"04/30/2024","2,302.90","2,347.00","2,347.60","2,296.20","221.87K","-2.32%"
"04/29/2024","2,357.70","2,347.60","2,358.90","2,331.00","179.98K","0.45%"
"04/26/2024","2,347.20","2,344.20","2,364.40","2,338.00","163.12K","0.20%"
"04/25/2024","2,342.50","2,327.40","2,357.60","2,316.40","218.19K","0.18%"
"04/24/2024","2,338.40","2,335.70","2,350.90","2,324.80","178.25K","-0.16%"
"04/23/2024","2,342.10","2,342.30","2,347.90","2,304.60","262.00K","-0.18%"
"04/22/2024","2,346.40","2,403.70","2,404.30","2,338.20","256.12K","-2.79%"
"04/19/2024","2,413.80","2,394.00","2,433.30","2,386.80","264.37K","0.66%"
"04/18/2024","2,398.00","2,377.90","2,408.00","2,377.20","195.49K","0.40%"
"04/17/2024","2,388.40","2,398.00","2,412.00","2,370.70","279.55K","-0.81%"
"04/16/2024","2,407.80","2,399.10","2,414.80","2,379.20","290.70K","1.04%"
"04/15/2024","2,383.00","2,369.40","2,404.30","2,340.20","336.61K","0.37%"
"04/12/2024","2,374.10","2,389.40","2,448.80","2,350.60","479.89K","0.06%"
"04/11/2024","2,372.70","2,351.70","2,395.60","2,343.10","260.42K","1.03%"
"04/10/2024","2,348.40","2,372.40","2,378.10","2,337.10","353.85K","-0.59%"
